label,number,directional,street_name,street_type,subaddress_id,subaddress_type,zip,status,lat,lon,x,y
310 NE TERRY LN #1C,310,NORTHEAST,TERRY,LANE,1C,,97526,Other,42.4386752088,-123.3032306956,-13726052.8542,5226919.057099998
310 NE TERRY LN #1B,310,NORTHEAST,TERRY,LANE,1B,,97526,Other,42.4386757962,-123.3031187646,-13726040.3941,5226919.1457
310 NE TERRY LN #1A,310,NORTHEAST,TERRY,LANE,1A,,97526,Other,42.4386760103,-123.3030988633,-13726038.1787,5226919.178000003
713 NE 9TH ST,713,NORTHEAST,9TH,STREET,,,97526,Other,42.4432067258,-123.3173758304,-13727627.4834,5227602.613200001
801 NE 9TH ST,801,NORTHEAST,9TH,STREET,,,97526,Other,42.4436848363,-123.3172564407,-13727614.193,5227674.736599997
703 NE WHARTON DR,703,NORTHEAST,WHARTON,DRIVE,,,97526,Current,42.4433183211,-123.3173668122,-13727626.4795,5227619.447400004
711 NE WHARTON DR,711,NORTHEAST,WHARTON,DRIVE,,,97526,Other,42.4433131001,-123.3169666307,-13727581.931499999,5227618.6598000005
717 NE WHARTON DR,717,NORTHEAST,WHARTON,DRIVE,,,97526,Other,42.4433106519,-123.3167723017,-13727560.2989,5227618.2905
721 NE WHARTON DR,721,NORTHEAST,WHARTON,DRIVE,,,97526,Other,42.443267486,-123.3165875461,-13727539.732,5227611.7788999975
725 NE WHARTON DR,725,NORTHEAST,WHARTON,DRIVE,,,97526,Other,42.4432865301,-123.3164075884,-13727519.6992,5227614.6516999975
731 NE WHARTON DR,731,NORTHEAST,WHARTON,DRIVE,,,97526,Other,42.4432953739,-123.3162305395,-13727499.9902,5227615.985799998
519 NE A ST,519,NORTHEAST,A,STREET,,,97526,Other,42.4425395563,-123.3193684841,-13727849.3046,5227501.971000001
603 NE A ST,603,NORTHEAST,A,STREET,,,97526,Other,42.4425353475,-123.3187146597,-13727776.521200001,5227501.336099997
454 NE FLINT ST,454,NORTHEAST,FLINT,STREET,,,97526,Other,42.4421999344,-123.3194880912,-13727862.619199999,5227450.739600003
458 NE FLINT ST,458,NORTHEAST,FLINT,STREET,,,97526,Other,42.4422392143,-123.3191961594,-13727830.1215,5227456.664899997
459 NE FLINT ST,459,NORTHEAST,FLINT,STREET,,,97526,Other,42.4422481637,-123.3188034447,-13727786.4047,5227458.014899999
455 NE FLINT ST,455,NORTHEAST,FLINT,STREET,,,97526,Other,42.4421152961,-123.3188000805,-13727786.0302,5227437.972099997
450 NE FLINT ST,450,NORTHEAST,FLINT,STREET,,,97526,Current,42.4420359173,-123.3192210912,-13727832.8969,5227425.998000003
449 NE FLINT ST,449,NORTHEAST,FLINT,STREET,,,97526,Other,42.4419203614,-123.318780508,-13727783.8514,5227408.566699997
444 NE FLINT ST,444,NORTHEAST,FLINT,STREET,,,97526,Other,42.4417748392,-123.3192506755,-13727836.190200001,5227386.615099996
443 NE FLINT ST,443,NORTHEAST,FLINT,STREET,,,97526,Other,42.4417456752,-123.3187516245,-13727780.6361,5227382.215800002
437 NE FLINT ST,437,NORTHEAST,FLINT,STREET,,,97526,Other,42.4415567852,-123.3187802996,-13727783.828200001,5227353.722400002
814 NE CLYDE PL,814,NORTHEAST,CLYDE,PLACE,,,97526,Other,42.4420404464,-123.3176993784,-13727663.500599999,5227426.681199998
820 NE CLYDE PL,820,NORTHEAST,CLYDE,PLACE,,,97526,Other,42.442097797,-123.3180228653,-13727699.511,5227435.332400002
825 NE CLYDE PL,825,NORTHEAST,CLYDE,PLACE,,,97526,Other,42.4418201911,-123.3181416621,-13727712.735399999,5227393.456299998
821 NE CLYDE PL,821,NORTHEAST,CLYDE,PLACE,,,97526,Other,42.4417395769,-123.3177129726,-13727665.0139,5227381.295900002
823 NE CLYDE PL,823,NORTHEAST,CLYDE,PLACE,,,97526,Other,42.4416274206,-123.3181408878,-13727712.6492,5227364.377499998
1411 NE SOMMER DR,1411,NORTHEAST,SOMMER,DRIVE,,,97526,Other,42.4442876668,-123.3070905255,-13726482.5285,5227765.674900003
1417 NE SOMMER DR,1417,NORTHEAST,SOMMER,DRIVE,,,97526,Other,42.4442970899,-123.3068145613,-13726451.8083,5227767.0964
1425 NE SOMMER DR,1425,NORTHEAST,SOMMER,DRIVE,,,97526,Other,42.4442897576,-123.3064722852,-13726413.7063,5227765.9903
1403 NE SOMMER DR,1403,NORTHEAST,SOMMER,DRIVE,,,97526,Other,42.4442939199,-123.307459292,-13726523.5794,5227766.618199997
1221 NE ADELE DR,1221,NORTHEAST,ADELE,DRIVE,,,97526,Other,42.4439854638,-123.3082822324,-13726615.1887,5227720.086800002
1220 NE DUANE DR,1220,NORTHEAST,DUANE,DRIVE,,,97526,Other,42.4436736174,-123.3082394088,-13726610.4216,5227673.044200003
449 NE 12TH ST,449,NORTHEAST,12TH,STREET,,,97526,Other,42.4418732389,-123.3092977275,-13726728.2331,5227401.458400004
1209 NE GRABLE DR,1209,NORTHEAST,GRABLE,DRIVE,,,97526,Other,42.4415711051,-123.3088740092,-13726681.065000001,5227355.8825
444 NE 12TH ST,444,NORTHEAST,12TH,STREET,,,97526,Other,42.4416690464,-123.3096315989,-13726765.399500001,5227370.6565999985
441 NE 12TH ST,441,NORTHEAST,12TH,STREET,,,97526,Other,42.4415185616,-123.3092970825,-13726728.1613,5227347.956500001
440 NE 12TH ST,440,NORTHEAST,12TH,STREET,,,97526,Other,42.4414949083,-123.3096505597,-13726767.510200001,5227344.388499998
1202 NE MEIER DR,1202,NORTHEAST,MEIER,DRIVE,,,97526,Other,42.4411719256,-123.3092497278,-13726722.889800001,5227295.6679000035
436 NE 12TH ST,436,NORTHEAST,12TH,STREET,,,97526,Other,42.4412536946,-123.3096464131,-13726767.0486,5227308.002400003
432 NE 12TH ST,432,NORTHEAST,12TH,STREET,,,97526,Other,42.4410186791,-123.3096588341,-13726768.4313,5227272.551399998
448 NE 12TH ST,448,NORTHEAST,12TH,STREET,,,97526,Other,42.4419210767,-123.309619813,-13726764.0875,5227408.674599998
1021 NE A ST,1021,NORTHEAST,A,STREET,,,97526,Other,42.4417393747,-123.3114625847,-13726969.2239,5227381.2654
456 NE 11TH ST,456,NORTHEAST,11TH,STREET,,,97526,Other,42.4421170031,-123.3108491324,-13726900.934700001,5227438.229599997
455 NE 11TH ST,455,NORTHEAST,11TH,STREET,,,97526,Other,42.4421102791,-123.3104681227,-13726858.5209,5227437.215300001
451 NE 11TH ST,451,NORTHEAST,11TH,STREET,,,97526,Other,42.4419222965,-123.3104218604,-13726853.371,5227408.858599998
446 NE 11TH ST,446,NORTHEAST,11TH,STREET,,,97526,Other,42.4417177813,-123.3108544809,-13726901.5301,5227378.008100003
447 NE 11TH ST,447,NORTHEAST,11TH,STREET,,,97526,Other,42.4417440914,-123.310489694,-13726860.9222,5227381.976899996
443 NE 11TH ST,443,NORTHEAST,11TH,STREET,,,97526,Other,42.4416236691,-123.310490268,-13726860.9861,5227363.8116
